smiles,num_reactions_worked,num_reactions_failed,num_reactions_total
N=1C=C(C(=C2C=CC3=C(N=CC(=C3C)C)C12)C)C,52,108,160
N=1C=CC(=CC1C=2N=CC=C(C2)C(C)(C)C)C(C)(C)C,48,111,159
N=1C=CC=C2C=CC=3C=CC=NC3C12,46,114,160
N=1C=CC(=CC1C=2N=CC=C(C2)C)C,46,113,159
N=1C=CC=CC1C=NN(CC=2C=CC=CC2)CC=3C=CC=CC3,35,124,159
N1=CC=CC2=CC=CC(N)=C12,27,132,159
